question_nr,profile,answer, param
1,1,1, 6.3997349988245
1,1,2, 3.23546881236533
1,1,3, 1.7929334640527
1,1,4, 1.09124526268924
1,1,5, 0
1,2,1, 0.947967711917056
1,2,2, -0.0154205664946706
1,2,3, 0.437417527005504
1,2,4, 0.0662438166783298
1,2,5, 0
1,3,1, 1.62667850859404
1,3,2, 0.124756845181265
1,3,3, 0.165331935711049
1,3,4, -0.528527967257673
1,3,5, 0
1,4,1, 0
1,4,2, 0
1,4,3, 0
1,4,4, 0
1,4,5, 0
2,1,1, -3.54456366207306
2,1,2, -1.42149332071763
2,1,3, 3.01428375088189
2,1,4, 1.60229567163803
2,1,5, 0
2,2,1, -4.43254862232527
2,2,2, -2.68697708682384
2,2,3, 1.8636673052192
2,2,4, 0.213841187230279
2,2,5, 0
2,3,1, -4.5680436106294
2,3,2, -2.82849188005068
2,3,3, 1.77317513244322
2,3,4, 0.341118575925409
2,3,5, 0
2,4,1, 0
2,4,2, 0
2,4,3, 0
2,4,4, 0
2,4,5, 0
3,1,1, 0.0199535554171909
3,1,2, -0.662161273005644
3,1,3, -0.487314478193407
3,1,4, -0.827836125517137
3,1,5, 0
3,2,1, -0.0058266318529469
3,2,2, -0.823928015203259
3,2,3, -2.48352024402644
3,2,4, -3.02817157806131
3,2,5, 0
3,3,1, 0.200782327782038
3,3,2, -0.214759094033071
3,3,3, -0.141640085206764
3,3,4, -0.0059919383965992
3,3,5, 0
3,4,1, 0
3,4,2, 0
3,4,3, 0
3,4,4, 0
3,4,5, 0
4,1,1, 0.433498065458068
4,1,2, 0.0797282903062789
4,1,3, 0.185336474011095
4,1,4, 0.0986301300157319
4,1,5, 0
4,2,1, 0.0286403541755862
4,2,2, 0.0841960000807763
4,2,3, 0.363907323501588
4,2,4, 0.85878837776336
4,2,5, 0
4,3,1, 2.79616898845112
4,3,2, 1.6364932764877
4,3,3, -0.886031813183287
4,3,4, 0.00536345856233476
4,3,5, 0
4,4,1, 0
4,4,2, 0
4,4,3, 0
4,4,4, 0
4,4,5, 0
5,1,1, 5.13275769717409
5,1,2, 3.48704344692706
5,1,3, 2.24509212065233
5,1,4, 1.62334557679431
5,1,5, 0
5,2,1, -0.0647662331788805
5,2,2, 1.38679854066768
5,2,3, 0.6326888958068
5,2,4, 0.824023293867903
5,2,5, 0
5,3,1, 1.8845411158708
5,3,2, 2.22570691253589
5,3,3, 1.53693443466493
5,3,4, 1.28973202553726
5,3,5, 0
5,4,1, 0
5,4,2, 0
5,4,3, 0
5,4,4, 0
5,4,5, 0
6,1,1, 3.76943157828974
6,1,2, 1.61305678207624
6,1,3, 1.49334802873887
6,1,4, -0.825458791589129
6,1,5, 0
6,2,1, -1.20600481379216
6,2,2, -1.62115388274741
6,2,3, -0.865349906781853
6,2,4, -0.851981349010686
6,2,5, 0
6,3,1, 1.44276192510633
6,3,2, 0.796529975571312
6,3,3, 1.42183166029355
6,3,4, 0.693816336511391
6,3,5, 0
6,4,1, 0
6,4,2, 0
6,4,3, 0
6,4,4, 0
6,4,5, 0
7,1,1, 0.0731534369659511
7,1,2, -1.06610379393356
7,1,3, -0.97556475215453
7,1,4, -0.57782368194845
7,1,5, 0
7,2,1, 3.90337842529876
7,2,2, 2.90366504207137
7,2,3, -0.689330147176906
7,2,4, -1.57667543491816
7,2,5, 0
7,3,1, 1.59429007914883
7,3,2, 0.225114374953585
7,3,3, -0.26956684807407
7,3,4, 0.12106794478783
7,3,5, 0
7,4,1, 0
7,4,2, 0
7,4,3, 0
7,4,4, 0
7,4,5, 0
8,1,1, 0.332618152239993
8,1,2, 0.0707453401929561
8,1,3, 0.198644836770288
8,1,4, 0.979590976762424
8,1,5, 0
8,2,1, 0.399952376374275
8,2,2, -0.0886254648339876
8,2,3, -3.1701893112513
8,2,4, -4.3792375144449
8,2,5, 0
8,3,1, 1.92189107548406
8,3,2, 1.10113505391957
8,3,3, 0.986955523376259
8,3,4, 1.02098625100555
8,3,5, 0
8,4,1, 0
8,4,2, 0
8,4,3, 0
8,4,4, 0
8,4,5, 0
9,1,1, 0.848057799302757
9,1,2, 0.652692325026947
9,1,3, 0.152339113369088
9,1,4, 0.974600820979889
9,1,5, 0
9,2,1, 2.86618644147258
9,2,2, 1.79398135321243
9,2,3, -0.573338402633218
9,2,4, -0.247412340909654
9,2,5, 0
9,3,1, 0.314274269211708
9,3,2, 0.462527590329294
9,3,3, 0.26152462980226
9,3,4, 0.746719983753168
9,3,5, 0
9,4,1, 0
9,4,2, 0
9,4,3, 0
9,4,4, 0
9,4,5, 0
10,1,1, -3.62001055172032
10,1,2, -2.91154358387464
10,1,3, -1.14941595909657
10,1,4, -1.37976125847567
10,1,5, 0
10,2,1, -3.62749322751429
10,2,2, -2.74841985553476
10,2,3, -1.76456796527138
10,2,4, -1.97571571090862
10,2,5, 0
10,3,1, -3.42999648341439
10,3,2, -2.6996984915591
10,3,3, -1.9173493569139
10,3,4, -1.25065456483761
10,3,5, 0
10,4,1, 0
10,4,2, 0
10,4,3, 0
10,4,4, 0
10,4,5, 0
11,1,1, 3.50721216800427
11,1,2, 1.72054352800904
11,1,3, 1.81120030104689
11,1,4, 0.405307090982546
11,1,5, 0
11,2,1, -0.00390169313075375
11,2,2, 0.251381579044206
11,2,3, 0.147982486301173
11,2,4, 0.267720246824697
11,2,5, 0
11,3,1, 0.251859491150499
11,3,2, 0.496634450360368
11,3,3, 0.086833724697631
11,3,4, -0.287000459718305
11,3,5, 0
11,4,1, 0
11,4,2, 0
11,4,3, 0
11,4,4, 0
11,4,5, 0
